  0.0008           0.0011          1.0006          0.0680         -0.1536         -0.0175          0.5916          0.0584          0.8041          0.0028
  0.0015           0.0006          0.9999         -0.0845          0.0598          0.1349          0.5957          0.0679          0.8003          0.0028
 -0.0026          -0.0013          1.0006         -0.0540         -0.0926          0.0739          0.5875          0.0491          0.8078          0.0028
 -0.0004           0.0004          1.0002         -0.1454          0.0903          0.0739          0.5961          0.0589          0.8008          0.0028
 -0.0007          -0.0001          1.0004          0.0070         -0.0316          0.0130          0.5726          0.0574          0.8178          0.0028
 -0.0007          -0.0006          0.9975          0.0070         -0.0926         -0.0785          0.5916          0.0584          0.8041          0.0028
 -0.0012           0.0021          1.0002         -0.0235          0.0293          0.0739          0.5916          0.0584          0.8041          0.0028
 -0.0019          -0.0016          1.0014          0.0680         -0.0621          0.0130          0.5813          0.0583          0.8116          0.0028
 -0.0007           0.0043          0.9997         -0.0540         -0.0316          0.0434          0.5916          0.0584          0.8041          0.0028
  0.0015           0.0009          0.9975          0.0070          0.0598         -0.0480          0.5831          0.0487          0.8110          0.0028
  0.0008          -0.0011          1.0002         -0.0540         -0.0621          0.0130          0.5913          0.0674          0.8037          0.0028
  0.0001           0.0014          0.9992          0.0985          0.0903         -0.0480          0.5828          0.0575          0.8106          0.0028
  0.0008          -0.0016          0.9994         -0.0540          0.0598         -0.1395          0.5875          0.0491          0.8078          0.0028
 -0.0012          -0.0006          1.0004          0.0680          0.0293         -0.0175          0.5872          0.0580          0.8074          0.0028
  0.0008          -0.0018          1.0002          0.0985         -0.0316         -0.2005          0.5916          0.0584          0.8041          0.0028
 -0.0007          -0.0003          1.0016          0.0070         -0.0012          0.1349          0.5872          0.0580          0.8074          0.0028
 -0.0012          -0.0011          1.0006          0.0375         -0.0621         -0.0175          0.5872          0.0580          0.8074          0.0028
  0.0008           0.0021          1.0041         -0.0235         -0.0012          0.0739          0.5858          0.0587          0.8083          0.0028
 -0.0014          -0.0016          1.0019          0.0070         -0.0316          0.1044          0.5872          0.0580          0.8074          0.0028
 -0.0012           0.0016          1.0026          0.1290          0.0903         -0.0175          0.6006          0.0593          0.7974          0.0028
 -0.0021           0.0014          1.0016         -0.0845         -0.0316         -0.0480          0.5916          0.0584          0.8041          0.0028
